names,lG_and_S_frontomargin,lG_and_S_occipital_inf,lG_and_S_paracentral,lG_and_S_subcentral,lG_and_S_transv_frontopol,lG_and_S_cingul-Ant,lG_and_S_cingul-Mid-Ant,lG_and_S_cingul-Mid-Post,lG_cingul-Post-dorsal,lG_cingul-Post-ventral,lG_cuneus,lG_front_inf-Opercular,lG_front_inf-Orbital,lG_front_inf-Triangul,lG_front_middle,lG_front_sup,lG_Ins_lg_and_S_cent_ins,lG_insular_short,lG_occipital_middle,lG_occipital_sup,lG_oc-temp_lat-fusifor,lG_oc-temp_med-Lingual,lG_oc-temp_med-Parahip,lG_orbital,lG_pariet_inf-Angular,lG_pariet_inf-Supramar,lG_parietal_sup,lG_postcentral,lG_precentral,lG_precuneus,lG_rectus,lG_subcallosal,lG_temp_sup-G_T_transv,lG_temp_sup-Lateral,lG_temp_sup-Plan_polar,lG_temp_sup-Plan_tempo,lG_temporal_inf,lG_temporal_middle,lLat_Fis-ant-Horizont,lLat_Fis-ant-Vertical,lLat_Fis-post,lPole_occipital,lPole_temporal,lS_calcarine,lS_central,lS_cingul-Marginalis,lS_circular_insula_ant,lS_circular_insula_inf,lS_circular_insula_sup,lS_collat_transv_ant,lS_collat_transv_post,lS_front_inf,lS_front_middle,lS_front_sup,lS_interm_prim-Jensen,lS_intrapariet_and_P_trans,lS_oc_middle_and_Lunatus,lS_oc_sup_and_transversal,lS_occipital_ant,lS_oc-temp_lat,lS_oc-temp_med_and_Lingual,lS_orbital_lateral,lS_orbital_med-olfact,lS_orbital-Shaped,lS_parieto_occipital,lS_pericallosal,lS_postcentral,lS_precentral-inf-part,lS_precentral-sup-part,lS_suborbital,lS_subparietal,lS_temporal_inf,lS_temporal_sup,lS_temporal_transverse,lMeanThickness
sub-01,2.254,2.181,2.563,2.488,2.45,2.629,2.609,2.674,2.868,2.846,1.967,2.86,3.028,2.798,2.538,2.779,2.91,3.6,2.553,2.172,2.64,2.011,2.91,2.71,2.546,2.527,2.239,2.13,2.85,2.435,2.492,2.822,2.641,3.149,3.41,2.643,2.754,3.047,2.502,2.383,2.442,1.92,2.785,1.983,2.036,2.157,2.735,2.821,2.535,2.668,2.013,2.186,1.972,2.34,2.072,1.95,1.81,2.062,2.313,2.05,2.471,2.541,2.534,2.457,2.159,2.014,1.952,2.422,2.475,2.301,2.061,2.308,2.409,2.513,2.43535
sub-02,2.363,2.132,2.43,2.407,2.614,3.098,2.784,2.66,2.877,2.434,1.915,2.824,2.492,2.819,2.621,2.983,3.339,3.335,2.451,2.32,2.644,2.253,2.514,2.609,2.536,2.823,2.39,2.276,2.825,2.444,2.588,2.986,2.542,2.791,3.035,2.432,2.515,2.915,2.461,2.558,2.538,1.88,2.798,1.988,2.044,2.167,2.927,2.816,2.628,2.408,1.988,2.435,2.263,2.594,2.313,2.066,1.945,2.158,2.278,1.965,2.399,2.167,2.346,2.622,2.27,2.521,2.09,2.489,2.201,2.514,2.202,1.917,2.309,2.555,2.46899
sub-03,2.485,2.421,2.392,2.483,2.546,2.829,2.859,2.824,3.054,2.243,1.786,2.846,3.054,2.589,2.909,3.107,3.198,4.082,2.558,2.332,3.041,2.012,3.477,2.828,2.618,2.699,2.544,2.39,2.93,2.794,2.659,2.945,2.366,2.843,3.365,2.535,3.017,3.063,2.192,2.591,2.428,1.878,3.052,1.94,1.944,2.531,3.174,2.8,2.722,2.561,2.166,2.399,2.358,2.716,2.452,2.481,1.901,2.215,2.468,2.431,2.521,1.966,2.475,2.758,2.309,2.157,2.374,2.281,2.482,2.069,2.387,2.44,2.423,2.42,2.58331
sub-04,2.492,2.5,2.593,2.602,2.958,2.831,2.855,2.635,2.988,2.812,2.022,2.996,3.109,3.022,2.91,2.963,3.373,3.954,2.505,2.353,2.699,2.046,3.151,3.05,2.731,2.797,2.396,2.448,2.817,2.492,2.779,3.194,2.678,3.123,3.723,2.562,3.03,2.686,2.822,2.737,2.552,1.954,3.617,2.112,2.147,2.318,2.941,2.861,2.669,2.356,2.027,2.368,2.147,2.587,1.81,2.181,2.13,2.14,2.282,2.538,2.384,2.502,2.413,2.629,2.292,2.237,2.248,2.56,2.427,2.332,2.317,2.314,2.375,3.254,2.58484
sub-05,2.358,2.614,2.394,2.567,2.53,2.854,2.745,2.504,2.88,2.214,2.095,2.834,2.659,2.586,2.809,3,3.003,3.663,2.521,2.305,2.737,2.071,2.771,2.634,2.348,2.744,2.313,2.271,2.901,2.43,2.673,2.981,2.214,2.847,3.205,2.461,2.639,2.913,2.234,2.356,2.376,1.83,2.543,2.009,1.991,2.227,2.823,2.795,2.715,2.625,1.879,2.337,2.386,2.598,2.316,2.033,2.004,2.091,2.249,2.393,2.378,2.171,2.589,2.774,2.293,2.202,2.078,2.452,2.654,2.832,2.242,2.331,2.155,1.858,2.48096
sub-06,2.427,2.254,2.521,2.986,2.794,3.07,2.803,2.581,2.866,2.537,1.97,2.825,2.687,2.746,2.82,3.065,4.075,3.861,2.493,2.253,2.7,2.113,2.838,2.84,2.795,2.789,2.591,2.407,3.011,2.634,2.865,3.094,2.904,3.146,3.332,2.483,2.708,3.147,2.254,2.26,2.599,1.914,3.084,2.096,2.211,2.273,3.226,2.769,2.688,2.57,1.752,2.165,2.302,2.462,2.68,2.123,1.721,2.115,2.006,2.09,2.29,2.373,2.871,2.763,2.265,2.287,2.417,2.483,2.399,2.503,2.122,2.114,2.369,1.953,2.55836
sub-07,2.157,2.532,2.448,2.663,2.41,2.803,2.86,2.702,2.857,2.695,1.869,2.824,2.986,2.695,2.858,2.984,3.56,3.81,2.371,1.911,2.766,2.097,3.325,3.021,2.721,2.747,2.446,2.226,2.921,2.539,2.768,2.8,2.678,2.945,3.2,2.621,2.935,2.84,2.462,2.574,2.324,1.951,3.361,1.967,2.215,2.381,2.797,2.803,2.626,2.642,1.967,2.374,2.366,2.581,2.596,2.155,1.912,1.925,2.07,2.284,2.512,2.383,2.834,3.038,2.143,2.519,2.229,2.484,2.565,2.21,2.295,2.292,2.364,2.204,2.54947
sub-08,2.59,2.316,2.291,2.571,2.508,3.203,2.959,2.782,3.023,2.588,2.038,3.026,2.934,2.847,2.823,2.934,3.176,3.456,2.411,2.347,2.696,2.321,2.915,2.737,2.826,2.683,2.609,2.244,2.947,2.534,2.653,3.428,2.408,2.973,2.569,2.521,2.89,2.964,2.631,2.618,2.691,2.075,2.495,2.14,2.078,2.335,2.899,3,2.639,2.596,2.115,2.494,2.523,2.538,2.604,2.227,2.129,2.256,2.267,2.328,2.494,2.593,3.073,2.649,2.347,2.569,2.157,2.526,2.201,2.799,2.26,2.376,2.468,2.429,2.58558
sub-09,2.448,2.093,2.288,2.699,2.479,2.86,2.715,2.51,2.628,2.421,1.909,2.743,2.658,2.584,2.76,2.86,3.073,3.757,2.408,2.27,2.658,2.019,3.109,2.704,2.563,2.763,2.341,2.293,2.866,2.345,2.565,2.983,2.643,3.155,3.937,2.583,3.126,2.797,2.637,2.718,2.461,2.035,3.258,2.076,1.957,2.192,3.161,3.236,2.765,2.518,1.923,2.313,2.324,2.51,2.124,2.011,1.735,1.87,1.95,2.231,2.174,2.362,2.337,2.634,2.318,2.103,2.056,2.428,2.209,2.712,2.109,2.345,2.378,2.437,2.4885
sub-10,2.434,2.428,2.328,2.633,2.645,2.744,2.77,2.521,2.75,2.309,1.736,2.974,3.178,2.797,2.666,2.919,3.132,3.505,2.469,2.138,2.63,1.961,3.071,2.766,2.582,2.734,2.385,2.218,2.893,2.458,2.765,3.244,2.595,2.927,3.353,2.733,2.871,2.951,2.373,2.842,2.354,2.054,3.275,1.931,2.083,1.905,2.688,2.853,2.663,2.463,1.935,2.272,2.284,2.439,1.934,1.982,1.586,1.941,1.84,2.098,2.43,2.196,2.43,2.453,2.067,2.225,2.097,2.425,2.164,2.354,1.844,2.33,2.191,2.387,2.47421
