rh.aparc.a2009s.thickness,rh_G_and_S_frontomargin_thickness,rh_G_and_S_occipital_inf_thickness,rh_G_and_S_paracentral_thickness,rh_G_and_S_subcentral_thickness,rh_G_and_S_transv_frontopol_thickness,rh_G_and_S_cingul-Ant_thickness,rh_G_and_S_cingul-Mid-Ant_thickness,rh_G_and_S_cingul-Mid-Post_thickness,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-ventral_thickness,rh_G_cuneus_thickness,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Triangul_thickness,rh_G_front_middle_thickness,rh_G_front_sup_thickness,rh_G_Ins_lg_and_S_cent_ins_thickness,rh_G_insular_short_thickness,rh_G_occipital_middle_thickness,rh_G_occipital_sup_thickness,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Parahip_thickness,rh_G_orbital_thickness,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Supramar_thickness,rh_G_parietal_sup_thickness,rh_G_postcentral_thickness,rh_G_precentral_thickness,rh_G_precuneus_thickness,rh_G_rectus_thickness,rh_G_subcallosal_thickness,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temporal_inf_thickness,rh_G_temporal_middle_thickness,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-post_thickness,rh_Pole_occipital_thickness,rh_Pole_temporal_thickness,rh_S_calcarine_thickness,rh_S_central_thickness,rh_S_cingul-Marginalis_thickness,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_sup_thickness,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_post_thickness,rh_S_front_inf_thickness,rh_S_front_middle_thickness,rh_S_front_sup_thickness,rh_S_interm_prim-Jensen_thickness,rh_S_intrapariet_and_P_trans_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_occipital_ant_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_parieto_occipital_thickness,rh_S_pericallosal_thickness,rh_S_postcentral_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_suborbital_thickness,rh_S_subparietal_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_transverse_thickness,rh_MeanThickness_thickness
sub-01,1.974,2.455,2.329,2.507,2.341,2.704,2.548,2.597,2.887,2.943,1.874,2.583,2.597,2.571,2.631,2.883,3.351,3.419,2.647,2.266,2.712,2.043,3.032,2.624,2.568,2.681,2.323,2.298,2.878,2.471,2.485,2.734,2.774,2.742,3.898,2.423,2.651,2.831,2.417,2.647,2.472,1.902,2.687,1.95,2.035,2.362,2.762,2.726,2.598,2.198,2.038,2.285,1.987,2.281,2.095,2.181,1.859,2.132,2.104,2.024,2.337,1.976,2.284,2.433,2.254,2.001,2.063,2.41,2.251,2.554,2.432,2.084,2.234,2.654,2.42399
sub-02,2.11,2.277,2.474,2.411,2.686,2.787,2.984,2.873,2.879,2.799,1.922,2.744,2.596,2.269,2.649,3.083,3.405,3.781,2.573,2.155,2.871,2.33,2.803,2.466,2.571,2.733,2.216,2.322,2.756,2.615,2.424,2.682,2.579,2.798,2.81,2.458,2.549,2.582,2.596,2.178,2.44,1.813,1.959,1.854,2.002,2.393,2.782,2.567,2.572,2.415,2.04,2.241,1.95,2.39,1.774,1.979,1.806,2.146,2.391,2.024,2.342,1.762,2.213,2.533,2.333,2.415,1.896,2.366,2.421,2.388,2.403,1.997,2.347,2.325,2.4166
sub-03,2.26,2.586,2.289,2.564,2.601,2.838,3.04,2.865,2.991,2.942,1.802,2.93,3.04,2.672,2.78,3.073,3.727,3.981,2.807,2.479,3.093,2.104,3.392,2.83,2.805,2.832,2.554,2.27,2.914,2.538,2.692,2.775,2.506,3.035,3.257,2.61,3.127,3.178,2.232,2.408,2.482,1.788,3.323,1.83,2.004,2.44,3.173,2.805,2.782,2.635,2.549,2.373,2.021,2.453,2.498,2.276,2.164,2.372,2.478,2.716,2.721,2.044,2.535,2.728,2.495,2.251,2.108,2.298,2.5,3.131,2.525,2.353,2.454,2.343,2.59791
sub-04,2.774,2.853,2.551,2.653,2.574,2.738,2.889,2.691,2.976,2.965,1.763,2.846,2.984,2.883,2.646,2.983,3.704,3.62,2.816,2.49,2.841,2.179,3.358,2.805,2.788,2.911,2.566,2.405,3.114,2.71,2.563,3.042,2.405,2.879,3.208,2.806,2.868,3.018,2.168,2.306,2.513,2.057,3.158,2.056,2.047,2.543,3.004,2.714,2.572,2.215,2.105,2.063,2.154,2.411,1.977,2.092,2.279,2.193,2.388,2.295,2.644,2.103,2.465,2.517,2.389,2.066,2.162,2.479,2.512,2.438,2.582,2.104,2.437,2.641,2.56278
sub-05,2.427,2.669,2.447,2.404,2.703,2.704,2.941,2.726,3.312,2.779,1.833,2.916,2.831,2.707,2.83,2.972,3.195,3.536,2.617,2.363,2.758,2.11,2.76,2.788,2.724,2.596,2.348,2.15,2.851,2.556,2.87,3.294,2.15,2.66,2.832,2.3,2.698,2.786,2.258,2.347,2.436,2.155,2.557,1.961,2.02,2.369,2.872,2.895,2.801,2.09,2.205,2.302,2.202,2.478,2.127,2.03,2.179,2.125,2.041,2.247,2.337,1.819,2.71,2.817,2.262,2.424,2.035,2.207,2.368,3.57,2.564,2.103,2.068,1.838,2.47261
sub-06,2.32,2.365,2.266,2.644,2.81,2.935,2.901,2.853,3.064,3.056,1.847,3.139,2.996,2.87,2.85,3.098,4.317,4.028,2.758,2.392,2.677,2.157,2.866,2.832,2.947,2.881,2.649,2.508,3.098,2.655,2.761,2.871,2.823,3.026,3.45,2.842,2.867,3.151,2.24,1.956,2.386,2.054,2.351,2.091,2.101,2.558,2.768,2.999,2.73,2.309,2.157,2.321,2.349,2.567,2.212,2.285,1.919,2.262,2.084,2.44,2.531,1.921,2.598,2.802,2.294,2.275,2.303,2.441,2.335,2.482,2.532,1.846,2.588,2.39,2.58454
sub-07,2.247,2.564,2.581,2.441,2.665,2.948,2.947,2.67,3.005,3.018,1.886,2.964,2.566,2.64,2.717,3.024,3.829,3.873,2.582,2.055,2.862,2.071,3.121,2.708,2.933,2.819,2.539,2.142,2.94,2.692,2.706,2.896,2.647,3.017,3.213,2.543,2.7,2.894,2.251,2.347,2.428,1.976,3.274,2.017,2.243,2.33,2.967,2.786,2.547,2.151,2.317,2.154,2.091,2.495,2.243,2.187,2.166,2.01,2.32,2.206,2.627,1.873,2.68,2.776,2.145,2.424,2.138,2.377,2.533,2.94,2.585,2.077,2.388,2.549,2.53489
sub-08,2.492,2.611,2.345,2.504,2.523,2.961,2.933,2.771,2.873,3.224,2.103,2.555,2.842,2.695,2.675,3.012,3.56,3.753,2.807,2.452,2.97,2.392,3.077,2.531,2.809,2.672,2.334,2.138,2.763,2.687,2.678,3.12,2.333,2.95,2.965,2.549,2.52,2.752,2.358,2.274,2.451,1.999,2.092,2.137,1.809,2.443,2.791,2.82,2.685,2.479,2.436,2.157,2.135,2.307,2.235,2.26,1.953,2.306,2.398,2.297,2.562,1.969,2.665,2.385,2.294,2.603,2.102,2.281,2.106,2.304,2.521,2.323,2.415,2.415,2.51401
sub-09,2.196,2.165,2.299,2.333,2.44,2.747,2.847,2.732,2.885,3.054,1.983,2.836,2.647,2.621,2.631,2.885,3.438,3.828,2.482,2.17,2.81,2.132,3.222,2.698,2.534,2.754,2.452,2.015,3.04,2.451,2.675,2.938,2.714,3.002,3.663,2.573,2.713,2.963,2.072,2.395,2.647,1.904,3.15,2.12,2.031,2.318,2.709,3.297,2.594,2.152,2.006,2.181,2.225,2.402,2.204,2.12,1.972,2.088,2.045,2.256,2.461,1.937,2.576,2.745,2.399,2.102,1.898,2.489,2.462,2.791,2.609,1.988,2.234,2.622,2.47993
sub-10,2.138,2.304,2.303,2.32,2.512,2.777,2.833,2.579,3,2.802,1.824,2.851,2.925,2.607,2.713,2.901,3.665,3.752,2.493,2.283,2.804,2.185,3.162,2.677,2.702,2.616,2.515,2.263,2.963,2.63,2.528,3.209,2.465,3.028,3.44,2.431,2.959,2.887,2.285,2.134,2.2,2.202,3.131,1.896,1.925,2.308,2.545,2.804,2.57,2.361,2.063,2.007,2.211,2.59,2.08,2.095,1.865,2.002,2.202,2.426,2.407,2.006,2.352,2.391,2.244,2.505,2.069,2.336,2.507,2.297,2.369,2.046,2.217,2.342,2.48225
