SST,RMET,IFG_CAT12,MFG_CAT12,OFG_CAT12,IPL_CAT12,PCu_CAT12,MTG_CAT12,IFG_FS,MFG_FS,OFG_FS,IPL_FS,PCu_FS,MTG_FS
10,28,3.00915,2.9645,3.27585,2.82755,2.8644,3.2253,2.6845,2.5845,2.667,2.557,2.453,2.939
3,25,2.76245,3.04345,3.0633,2.9196,2.8619,3.2736,2.544,2.635,2.5375,2.5535,2.5295,2.7485
5,21,2.9047,3.1142,3.2607,2.8767,2.97065,3.25365,2.6305,2.8445,2.829,2.7115,2.666,3.1205
6,20,3.00045,3.0041,3.43675,2.99565,2.9029,3.1623,2.9525,2.778,2.9275,2.7595,2.601,2.852
5,28,3.0323,3.1968,3.0793,2.81575,2.9147,3.0891,2.6465,2.8195,2.711,2.536,2.493,2.8495
8,29,2.96265,3.09665,3.27705,2.9275,2.99235,3.35525,2.808,2.835,2.836,2.871,2.6445,3.149
7,27,3.02975,2.9978,3.17915,2.96675,2.8897,3.2668,2.6675,2.7875,2.8645,2.827,2.6155,2.867
5,29,3.1541,3.23245,3.06715,3.04405,3.09915,3.57925,2.771,2.749,2.634,2.8175,2.6105,2.858
7,19,2.89645,3.1471,3.54785,2.86975,2.8732,3.2971,2.6025,2.6955,2.701,2.5485,2.398,2.88
10,26,2.96515,3.16,3.25005,2.84215,2.98315,3.43865,2.702,2.6895,2.7215,2.642,2.544,2.919
8,25,2.90305,3.0175,3.2536,2.8638,2.8439,3.4792,2.597,2.7075,2.782,2.704,2.51,2.9985
8,30,2.91545,3.0567,3.56245,2.986,2.815,3.3288,2.7375,2.7205,2.7425,2.699,2.459,2.927
4,30,2.94005,2.80745,3.1851,2.7204,2.7719,3.24,2.8175,2.5595,2.703,2.4775,2.63,2.9365
5,31,3.0533,2.9791,2.99355,2.7949,2.84275,3.13255,2.826,2.712,2.564,2.705,2.5255,2.8865
6,30,2.887,2.93945,3.1047,2.8339,2.7943,3.1597,2.7005,2.6185,2.655,2.6905,2.5015,2.879
6,24,2.9891,3.0207,3.3959,2.8071,2.87745,3.361,2.7785,2.6585,2.8355,2.531,2.493,3.024
6,22,2.81085,2.7527,3.18615,2.8311,2.5987,3.46475,2.772,2.35,2.602,2.4815,2.268,3.3155
5,27,2.87625,3.0342,3.28815,2.95355,2.8213,3.2599,2.66,2.6655,2.864,2.634,2.548,2.962
2,21,2.87265,3.0108,3.25145,2.95945,2.90255,3.23195,2.618,2.7055,2.7625,2.738,2.5725,2.986
8,27,2.8668,2.79795,2.60145,2.69885,2.777,2.75415,2.5485,2.3765,2.373,2.487,2.4115,2.859
7,25,3.05045,3.2478,3.30785,3.0662,3.0771,3.3755,2.864,2.975,3.0685,3.042,2.754,3.2345
8,27,2.6798,2.8567,2.99925,2.80635,2.72285,2.99245,2.457,2.5015,2.6,2.59,2.4325,2.868
5,25,3.11325,3.05895,3.12695,2.9463,2.9328,3.15475,2.9185,2.754,2.929,2.766,2.636,3.033
11,27,3.22985,3.1679,3.29165,2.99415,3.0346,3.3304,3.0095,2.8525,2.8885,2.7015,2.7055,3.0645
8,22,3.16565,3.11335,3.2501,2.9864,2.9871,3.3949,2.802,2.749,2.8965,2.699,2.5945,3.1185
10,24,2.9693,3.1263,3.27335,3.0507,2.74195,3.13015,2.686,2.619,2.8465,2.6875,2.3465,3.217
7,30,2.9157,3.10325,3.2035,2.96605,2.86535,3.1593,2.721,2.778,2.7745,2.7215,2.5965,2.901
6,22,2.8678,2.99065,3.1144,3.00645,2.79005,3.3454,2.751,2.7035,2.903,2.8465,2.6085,3.059
9,24,2.9318,2.9668,3.3179,2.9429,2.81325,3.0891,2.604,2.497,2.736,2.635,2.523,2.997
12,30,3.27185,3.2539,3.42835,3.1932,3.00035,3.23325,2.9175,2.864,3.053,2.891,2.693,3.276
5,27,2.8046,3.0714,3.2404,2.7168,2.82535,3.17275,2.6615,2.7545,2.9345,2.577,2.472,2.8325
8,27,2.8834,3.0724,3.20375,2.9798,2.69925,3.1838,2.629,2.6515,2.5635,2.6855,2.416,3.044
