SST,TPJ_CAT12,Pcu_CAT12,dmPFC_CAT12,AnG_CAT12,LOC_CAT12,mFC_CAT12,MTG_CAT12,Pcu-L_CAT12,TP_CAT12,TPJ_FSL,Pcu_FSL,dmPFC_FSL,AnG_FSL,LOC_FSL,mFC_FSL,MTG_FSL,Pcu-L_FSL,TP_FSL
10,0.415459068000282,0.326605153171917,0.326605153171917,0.4361258807852,0.160261819275134,0.42662087917898,0.368171688394386,0.527220493134556,0.334260937249598,0.5127771645,0.4946044535,0.4873184032,0.5205410627,0.1584928749,0.5149993945,0.4855308935,0.687878596,0.5728491095
3,0.387352047829723,0.371244913354228,0.371244913354228,0.465730989695158,0.144873054988679,0.402919210194366,0.351427993180792,0.431820753828755,0.302816751158951,0.7139622002,0.5386399707,0.6387315802,0.7753551262,0.1987641226,0.595301905,0.542227294,0.6798635802,0.4509447106
5,0.4221532226934,0.337532278766476,0.337532278766476,0.453001394779097,0.199691344008615,0.509882749596863,0.403699169734468,0.554111251027369,0.398394660103796,0.5045220669,0.5719257628,0.5392510951,0.5786605696,0.2101759677,0.5574065834,0.5011483798,0.5951332064,0.5185770395
6,0.408984814364698,0.3547890185481,0.3547890185481,0.418404037511886,0.173772544420782,0.420872299033261,0.352053329358739,0.506756699850141,0.346055032634144,0.6564210504,0.5086597185,0.5702376629,0.7386707569,0.217044701,0.5979581186,0.4498720016,0.7727492175,0.6225430638
5,0.365994157616667,0.360045941300097,0.360045941300097,0.398050183139005,0.16068763211003,0.472279668758432,0.327661572143726,0.439085299420701,0.34471600514071,0.5158766685,0.4526202014,0.5235299176,0.4002785855,0.1625302379,0.5259234981,0.3952968294,0.5604139013,0.4700336108
8,0.382906381449897,0.377405541904262,0.377405541904262,0.412372117410522,0.190395979983966,0.433192255781641,0.318961559778823,0.593881653342614,0.308084694713363,0.5802507312,0.5151154518,0.5507477793,0.6018616531,0.2065955319,0.5651859541,0.4707794021,0.8258932393,0.4353281732
7,0.401902167803268,0.350439475194946,0.350439475194946,0.444397655100193,0.178484377275045,0.440397680433528,0.304485847671252,0.513345302893961,0.274603496976328,0.524177017,0.6195408809,0.4669987736,0.5931926211,0.1927420319,0.4959311315,0.3898340532,0.630926398,0.4412471227
5,0.375810907326778,0.377545138734853,0.377545138734853,0.406258117960939,0.15358827226884,0.40259302362569,0.338919446484313,0.473501428562616,0.30738854736081,0.5839680151,0.6197276708,0.5291662705,0.6483719654,0.2336493457,0.5581773901,0.4767054316,0.7208407002,0.489056466
7,0.387571948887258,0.403060133126183,0.403060133126183,0.430075720828676,0.163450766925118,0.549179068578311,0.453188238394421,0.529606496857423,0.491551666118126,0.3852367197,0.5192127166,0.4309416752,0.3984887673,0.1308647482,0.5189770287,0.5040738934,0.6072857478,0.7490690489
10,0.383533099463871,0.344899685180962,0.344899685180962,0.405986344119057,0.161585743897168,0.428354432515878,0.332773649820002,0.483232797095138,0.335937936017093,0.6003238397,0.5355972469,0.5707362273,0.6805352944,0.2189274513,0.5911662098,0.4474532621,0.6133294693,0.516894729
8,0.407066177637708,0.445563694440369,0.445563694440369,0.466757893540658,0.175122501268531,0.478348937946389,0.377167049041585,0.443747098842282,0.36768886777496,0.4937214053,0.559447826,0.5545352487,0.5682397199,0.17225596,0.578580908,0.461920474,0.5137345345,0.6277280408
8,0.313052978015191,0.320187372565531,0.320187372565531,0.375547673828293,0.165360416625721,0.379904732014549,0.40727069618519,0.405368991232143,0.433075288503673,0.5202451794,0.5852812679,0.4778551329,0.5768365505,0.1950061506,0.5156097548,0.4689297621,0.4787926975,0.7906500369
4,0.469411792466417,0.450912457212492,0.450912457212492,0.546196110732853,0.221106568547897,0.51989374524113,0.416446547449347,0.597434025321077,0.422871862267705,0.4785584432,0.4549991964,0.6944152646,0.6004748476,0.1872867265,0.5849794155,0.3693615371,0.6016379923,0.5914284746
5,0.456624545970775,0.408265625466909,0.408265625466909,0.474863685173697,0.193670462089868,0.466377157872438,0.398382900653148,0.620171777503805,0.422212450923202,0.5330170638,0.448905669,0.5320718663,0.5562234529,0.1702958532,0.5578666404,0.4298560216,0.590040918,0.5672787792
6,0.355112720286326,0.436837055728023,0.436837055728023,0.378081189709997,0.17388225165772,0.444551977912121,0.383476928084948,0.474166350308326,0.362093973748901,0.5999425133,0.3957581442,0.5541693905,0.6702202719,0.2130972066,0.6132105649,0.5014194625,0.6939051032,0.5844131298
6,0.351412884993305,0.422706550231478,0.422706550231478,0.434869154764686,0.161327281084721,0.518535856210853,0.435746281501079,0.43116685288546,0.412716192842202,0.5783633845,0.3483234994,0.5618474341,0.5657148561,0.1903241884,0.6622267215,0.5114552815,0.4804920961,0.5935894008
6,0.401511843426144,0.438359763261707,0.438359763261707,0.446577317791796,0.18093326593687,0.448594492353133,0.381557164250027,0.511221961628654,0.356100494035496,0.5133750262,0.3912476349,0.5762312936,0.5254988462,0.1673694625,0.5424086999,0.4645946187,0.5211182724,0.5642987002
5,0.484896491934484,0.443098708300195,0.443098708300195,0.497973581661232,0.181571055466866,0.487680072821111,0.426369885106968,0.465066841114269,0.451467170934051,0.4650497921,0.3350954909,0.574982202,0.4963976221,0.1680847639,0.6178353648,0.5150015086,0.3710938191,0.5721814123
2,0.379717816115644,0.341205879571505,0.341205879571505,0.483824926013733,0.172110200864464,0.43915707196727,0.412461168775902,0.50587870925774,0.445648187258885,0.5311825941,0.4370918611,0.4679020769,0.6477785579,0.1293418777,0.4973653409,0.436474074,0.5023516893,0.6442046351
8,0.426910415571401,0.426723632711778,0.426723632711778,0.495295970923765,0.189040444802136,0.598534028433159,0.368146164468756,0.573428880860615,0.419725423178197,0.5374807365,0.3737709636,0.5747142532,0.6511069499,0.1396608298,0.5388030625,0.4555727416,0.5612378175,0.5370417005
7,0.417923792353483,0.332464546455938,0.332464546455938,0.45204562636872,0.186035582176845,0.416408307565307,0.372492524376117,0.502829620589565,0.338410269358878,0.6977436529,0.5725468634,0.5579763263,0.7470025015,0.2360175738,0.6313417348,0.4848448796,0.6864168407,0.5885121538
8,0.413593574028863,0.336931645034854,0.336931645034854,0.446601029603504,0.167158499644692,0.359917558393459,0.334088131989972,0.466571180643928,0.367354570101702,0.4619216263,0.5677414487,0.4826087714,0.5678376384,0.2064250476,0.5034140616,0.5066295416,0.5813092424,0.5374131275
5,0.404733393919028,0.40584104893559,0.40584104893559,0.46075515720755,0.186450238343577,0.484852511722977,0.367429671413557,0.557619539796172,0.31121643939965,0.5159266056,0.4598512597,0.5341309278,0.562616584,0.1680598562,0.588451224,0.4463209424,0.5863511846,0.476965969
11,0.495999662831173,0.408563187132116,0.408563187132116,0.488078460237011,0.194529525538436,0.523547767813831,0.399562470644785,0.549616600442416,0.399050397847493,0.8064451686,0.532811042,0.6572881777,0.7981504139,0.2246538206,0.5595635645,0.5417776568,0.6622221601,0.5488386863
8,0.532717641913027,0.450207125857926,0.450207125857926,0.592786172767668,0.218373184847911,0.539369648903452,0.396831410602324,0.760701702699388,0.424174153753087,0.643723642,0.5293523566,0.4290791967,0.6949404612,0.2170187087,0.5253312096,0.381788193,0.7621555981,0.4815831493
10,0.391194818810142,0.340517079420562,0.340517079420562,0.430894690325354,0.177045167081991,0.395550692258142,0.389095837998744,0.527042323495512,0.34278736471807,0.5481720535,0.5641468339,0.565297968,0.6496402617,0.2037670476,0.4645583463,0.6190200782,0.7243330936,0.5993831571
7,0.420925441788832,0.403453208412321,0.403453208412321,0.468439608186397,0.19498323004374,0.480456323081097,0.388483263783612,0.665017259331198,0.475931515495142,0.4853092789,0.4263715125,0.4964881871,0.4790257592,0.2169313649,0.5774891691,0.4307068851,0.764592316,0.643416093
6,0.373366340570517,0.356109678037508,0.356109678037508,0.472622006974551,0.205574627020014,0.428189506722727,0.392195171825302,0.463178610300484,0.37619876403981,0.7245197277,0.5978640994,0.5932223392,0.9071157893,0.2256902422,0.5650671844,0.4873746955,0.6131936882,0.5149392151
9,0.386783970097759,0.356864603002942,0.356864603002942,0.448096697726612,0.170234021168351,0.481323099749546,0.396913451791851,0.557068499675417,0.322356633840901,0.6645637643,0.4601877228,0.4883428923,0.7855185072,0.1587892709,0.6020223497,0.5061802319,0.6396060615,0.559432093
12,0.414212962007585,0.374422578050578,0.374422578050578,0.452817172241982,0.173785560533639,0.416670356325535,0.393077570397099,0.412842932069975,0.407687033340117,0.5488434471,0.4923956821,0.6519876115,0.6133916391,0.1858074819,0.5736631176,0.5651473081,0.5694755868,0.6100341122
5,0.345755930288225,0.335267503870176,0.335267503870176,0.392370292242227,0.129850601306916,0.367504144878405,0.378687545754144,0.444959387107942,0.337837187633294,0.5777843836,0.4252453759,0.5489677298,0.5986297655,0.1707120218,0.521752386,0.4854888982,0.7122827914,0.6241674188
8,0.324383380004666,0.363851791734107,0.363851791734107,0.375533081944166,0.181230777087889,0.426269037486924,0.329614152454458,0.45294946885888,0.327446407756269,0.4238899283,0.3879307654,0.6121266177,0.5821343086,0.2132517872,0.5763366871,0.5276891323,0.5976209767,0.5477343301
10,0.33897198266328,0.338327613340765,0.338327613340765,0.328496143457935,0.163393124139609,0.385054081778486,0.367207248633063,0.480104726009655,0.400281054117178,0.5453475222,0.6446316701,0.5297355139,0.5782655028,0.1939372458,0.4626986981,0.5419897702,0.6709007954,0.6678463356
7,0.353346181790797,0.401026795080599,0.401026795080599,0.366186980160256,0.171606291352425,0.402910047650302,0.336822838307523,0.510735209521988,0.33619141447264,0.4943639775,0.3481788222,0.6259211436,0.4357860379,0.1597716017,0.572120226,0.4683320896,0.5619991937,0.5418747587
4,0.399761797509931,0.356910523013005,0.356910523013005,0.488282746614802,0.193705791539052,0.420723865819425,0.459592920590126,0.435352921002791,0.395349245036427,0.6465412523,0.5920237624,0.5889865352,0.7796326362,0.2059476023,0.6633729365,0.628589006,0.4758165666,0.6154120528
